Date	NESN	ROG	NOVN	ZURN	ABBN	UBSG	LONN	GIVN	SIKA	LHN	CFR	ALC	CSGN	SREN	SCMN	GEBN	PGHN	SGSN	EMSN	KNIN	SCHN	SOON	STMN	BARN	LISN	CLN	DUFN	BAER	LOGN	SLHN	ADEN	BCVN	PSPN	SUN	TEMN	VIFN	ALLN	ALSN	AMS	BANB	BALN	BION	BEAN	BELL	BEKN	BKW	BUCN	CMBN	CON	COPN	DAE	DKSH	DOKA	DESN	EFGN	EMMN	FHZN	FORN	GALE	FIN	HBMN	HELN	HUBN	IDIA	IFCN	INRN	KARN	LAND	LEHN	LLBN	LUKN	MOVE	MOBN	OERL	PARG	RLF	HREN	SWTQ	SFSN	SFZN	SIGN	SWON	SGKN	SRAIL	SRCG	SPSN	SQN	TECN	UHR	VACN	VONN	VZN	WKBN	YPSN	ZUGER	ROSE	ADXN	ADVN	AEVS	AIRE	ALPN	AFP	APGN	ARBN	ARYN	ASCN	ASWN	AUTN	LINN	BCGE	BCJ	BPDG	BLKB	BSLN	BSKP	BBN	BLIN	BLS	BOBNN	BOSN	TIBN	BCHN	BRKN	BVZN	CALN	SKIN	CIE	CICN	CLTN	COTN	CFT	CPHN	CLXN	DCN	ESUN	ELMN	EDHN	RUS	EVE	FTON	FREN	GAM	GAV	GLKBN	GRKP	GMI	GUR	HIAG	HLEE	HOCN	HBLN	IMHE	IMPN	ISN	IREN	VBSN	JFN	KLIN	KOMN	KUD	KURN	LLQ	LMN	LECN	LEON	MCHN	MED	MTG	METN	MBTN	MIKN	MOZN	MOLN	NBEN	NEWN	NREN	ODHN	OFN	ORON	PEAN	PRFN	PEDU	PM	PLAN	PNHO	POLN	RIEN	SANN	SAHN	STRN	SNBN	SENS	SHLTN	STGN	SFPN	STLN	NTIV	TKBP	TOHN	TXGN	UBXN	ARON	VLRT	VATN	VALN	VARN	VAHN	VETN	VILN	ROL	VPBN	WARN	WIHN	ZEHN	ZUBN	ZUGN	ZWM	ACUN	ACIN	ACON	ADBN	AFIP	AGIN	ALCN	ALE	951884	APHN	ALPH	ALU	AMSN	AIRN	ASKN	ATRI	AXAN	BACP	SGC	BC	BAP	RIVN	BBIN	BERN	922604	BIG	BXL	BIZ	BOAN	BON	BUCP	FUR	CKWP	CANN	CEM	CEPN	CEVA	CHAM	VCH	CHN	CIBN	CIG	DAZP	DAYN	DMS	DSF	EDI	RLD	EGL	ELHN	929877	779121	EMT	ESEN	FOTO	933476	FUS	GATE	GENN	GEN	881890	779443	GNR	GOL	GOM	GG	GOT	GCZ	GIGN	HAR	HIZN	HER	HIEN	HILP	933459	HPTN	HLM	HUE	IMI	CGAN	INI	IHSN	MDXN	JAC	JELN	KER	992835	KUNN	LGSN	LBBN	LGLP	LOUN	LOEP	LOHN	933467	LUMX	LURN	992839	HIT	MIC	MASN	MIND	MIRN	MXN	MOV	MTPR	730990	NLEN	NET	NEV	NWEN	NOBE	NIHN	ORID	ORI	PWTN	PAXN	PEL	PIC	POR	PRWN	PNE	PUBN	QUAN	TTO	RESN	RE	932437	933481	SBEN	SAKN	SAUN	SBSI	SGPR	SGRN	SCI	SELN	SEZN	SG	SIAN	SIB	SHLN	SIM	SOPN	779447	539551	SPH	504701	SSTE	SWIN	SLOG	SMET	SYNN	SYST	TSGN	MSSN	UBSN	ULB	933500	UTA	VIJN	993194	MIV	WINT	ZEL	ZKKN	692395
01.12.1989	8.408	17.994	7.987	139.73	11.511	11.926			5.625	14.322	3.034		19.722	25.892				246.471	29.552		9.815				3799.996				1.755	91.571	160.027	31.198		43.45		5.012		16.301			37.728						24.713		186.413		22.151						19.273	404.403		258.469		28.771	8.841				24.568		82.5	18.947	84.875			21.029	34.975					49.818											17.5				1459.735					9.4			144.273	7.274		51.331					43.269		228.185						35.018	21.188				160	18.443		217.2				36.336			91.441			13.687					2.581	163.723		205.673		294.597							243.873														16.408	213.181		455.119							42.096					169.397				120.501			166.172	600					6.116						1690.156			315.293			6.174	237.335	182.71	83.75			8.332	42880.25			59.71	31.81				235.23		1700	400		60.47	647.81		339.55			87	290		35.43	758.01			1180.55	4600				48.26		505	143.87	40.99	145	1153.46			180.57				749.41	529.23			94.21		5300	153.93	387.5	280.88	2515.78			247.5	3475	305.12			1725		1252.99		2400		1850	608.9			1.74		185.62		685	5675		6353.2	208.22	769			111.67		6840		835.38	544.44	98.5			700		197.35		620			945		630		204.23			170.59		2500		887.55						780			345	1100	304.63			459.01			73.59		1850	120.08			60.93	2322.29								460		151.77	50.94	235			163	1120	74.78	11.07						11.93		730			170			189.01	1002.4	
01.01.1990	8.586	17.412	7.928	133.747	11.411	13.478			5.663	14.017	3.274		19.722	23.149				233.407	28.866		10.109				3799.996				1.78	85.534	150.174	31.015		43.044		4.869		15.807			35.123			8.579			24.901		182.896		22.151						19.074	381.512		254.611		29.566	8.727				23.34		82.5	19.112	88.411			20.683	35.675			24.124		46.128											17				1524.135					11			143.146	7.472		52.459			252.7		43.269		237.499		19.865				33.222	20.727				170	19.162		216				35.655			93.746			13.47					2.472	172.34		205.673		286.058				1605.44			243.082			25.516			0.676								16	209.85		448.223							42.096				867.371	180.789				121.577			174.481	605					5.825						1962.761			289.537			6.554	250.769	182.71	83.75	573.105		8.451	42880.25			61.07	31.42				221.85		1700	415		58.75	627.53		332.12	404		88	300	485	36.01	755.68			1255.9	4525	113		7925	50.97	395.94	490	139.08	43.22	146.25	1168.31			180.57				737.58	523.8			100.4		5275	158.33	362.5	278.9	2467.86			227.5	3500	309.54			1650		1205.16		2100		1850	632.87			1.76		176.25		715	5775		6329.58	212.47	790		120	101.51		6740		817.96	542.62	96.26			654		173.86		660			960		630		176.71			168.93		2350		887.55						810		375	330	1080	328.59			434.85			74.56	43.03	1750	120.08			58.32	2361.82								450		151.77	49.72	231			162	1075	74.78	11.65						13.48		750			165			178.18	1002.4	
01.02.1990	8.383	17.63	8.165	129.347	12.078	12.43			5.435	13.331	3.471		18.001	21.708				230.45	30.295		9.226				3559.997				1.694	83.018	128.399	30.831		43.653		4.296		11.691			34.729			8.66			29.019		152.12		21.247						18.378	373.882		246.896		27.977	8.387				21.497		72.439	17.794	84.875			18.539	36.174			24.58		40.593											17.15				1438.269					14			130.748	6.572		49.921			273.231		49.999		223.529		19.468				34.569	19.345				145	17.725		240				32.249			86.369			13.904					2.29	165.447		205.673		266.835				1562.18			237.153			25.516			0.655								14.298	182.092		420.64							43.053				790.515	197.135				119.783			174.481	560					6.349						1908.239			259.958			5.699	241.813	165.939	78.75	552.035		6.998	38982.05			57.68	28.28				169.93		1700	415		60.86	633.66		317.25	414		80	300	500	34.47	744.06			1205.67	4250	118		7730	46.18	361.29	490	130.68	42.77	128.75	1148.51			153.03				708.98	545.51			96.83		5225	158.33	350	303.62	2395.98			210	3450	313.96			1500		1186.04		2050		1750	594.52			1.71		163.75		668	5240		6380	191.22	730		110	89.33		6525		784.08	471.85	100.29			569		173.86		570			1000		600		175.37			177.21		2010		820.98						760		375	364	975	296.64			434.85			70.21	43.5	1650	125.45			54.83	2539.7								415		148.38	50.94	224			175	1075	63.27	10.87						12.43		650			158			168.34	762.8	
01.03.1990	8.408	17.558	7.968	127.763	12.245	12.443			5.169	13.895	3.504		17.391	20.267				246.471	30.438		9.324				3539.997				1.811	80.502	109.627	31.198		41.826		4.058		11.526			32.361			8.579			29.768		140.689		20.795						18.378	350.991		273.9		28.021	8.841				21.62		68.415	17.3	81.339			20.061	31.178			23.214		46.128											16.9				1288.002					13			133.002	6.158		49.074			268.498		49.519		223.529		18.276				35.242	18.516				145	18.264		255				32.703			84.525			13.904					2.127	146.489		191.65		292.658				1538.146			233.201			25.034			0.569								14.638	182.092		441.327							43.053				812.474	210.508				114.045			166.172	600					5.825						2180.845			277.886			5.889	241.813	173.001	67.5	568.891		7.26	40931.15			55.64	28.28				184.88		1700	412		62.2	588.4		297.42	409		78.75	290	550	34.47	739.41			1147.06	4425	113		7875	49.93	371.19	470	129.48	42.33	128.75	1128.7			148.44				611.36	515.66			86.36		5225	160	325	279.89	2372.02			205	3300	283.01			1425		1176.47		1940		1750	575.34			1.71		162.5		670	5400	725	5350	190.16	690		110	83.24		6270		784.08	435.55	94.92			465		164.46		640			1020		552		159.83			163.14		2100		843.17						780		375	345	960	290.94			427.95			65.36	43.03	1600	165.78			53.09	2391.47								430		148.24	50.94	224			168	1000	64.23	10.46						12.44		740			148			165.38	704.12	
01.04.1990	8.333	17.024	7.83	119.316	11.511	11.465			5.564	13.331	3.46		16.674	19.636				264.956	28.009		10.109				3319.997				1.731	77.987	112.255	30.354		44.871		3.809		12.02			32.361			8.579			32.202		139.282		19.891						18.478	350.991		273.9		26.388	7.254				25.428		70.427	17.712	82.223			20.061	31.378			25.49		43.36											16				1245.068					12			139.765	6.122		47.946			262.175		49.519		212.352		18.435				34.569	21.188				150	17.964		204				33.157			86.062			13.904					1.945	149.936		182.301		288.354				1499.693			229.248			25.034			0.576								16.34	190.974		455.119							38.461				680.721	227.844				113.328			186.944	575					5.592						2126.324			268.922		120	6.459	241.813	177.414	65	552.035		7.617	42880.25			64.46	28.67				204.55		1650	450		61.82	528.05		300.39	430		75.5	290	492.5	33.12	744.06			1155.43	4100	110		7425	45.77	366.24	500	127.09	41.88	140	1049.5			154.56				566	556.37			96.83		5225	167.5	332.5	298.68	2118.05			190	3150	283.01			1420		1109.52		2020		1600	560.96			1.72		166.25		700	5400	750	5550	183.96	1100		98	138.06		6650		779.24	562.59	91.78			463		150.36		840			1020		530		162.05			173.07		2230		710.04						800		375	380	990	319.46			400.34			65.36	43.97	1550	182.8			52.22	2332.17								465	810	148.24	50.94	220			150	1050	62.32	10.36						11.46		600			141			158.49	723.68	
01.05.1990	7.888	17.169	7.476	111.221	12.345	11.313			6.203	14.626	3.373		15.849	17.745				256.329	27.723		11.581				3319.997				1.804	75.471	103.996	29.363		45.886		3.771		12.349			30.151			8.579			32.577		149.482		20.343						18.676	378.46		316.335		26.477	7.14				23.954		72.439	17.052	79.57			20.407	26.981			25.399		46.128								3.652			14.8				1202.135					10.5			129.621	5.581		48.228			260.595		48.076		212.352		18.117				37.083	21.188				155	17.964		198				33.611			84.525			13.904					1.781	142.181		186.975		335.696				1466.046			219.367			24.842			0.612								17.021	182.092		454.429							39.418				680.721	240.722				119.783			166.172	590					5.475						2153.585			250.994		115	6.079	241.813	188.888	62.5	539.393		7.903	40931.15			67.86	27.3				200.61		1650	430		60.67	537.48		321.21	435.8		73.75	280	502.5	31.94	744.06			930.49	4000	110		6850	45.77	356.35	525	129.48	41.44	140	1153.46			162.21				571.92	529.23			94.45	236.64	5225	192	337.5	281.87	2118.05			177.5	3020	266.21			1300		1030		2060		1600	556.16			1.71		172.5		733	4800	710	5550	160.97	1055		95	150.24		6825		774.4	571.66	91.78			410		150.36		1050			1020		520		180.26			163.96		2050		843.17						830		375	380	960	383.35			430.71			65.36	42.57	1600	181.01			62.67	2075.24								479	730	148.24	50.94	220			170	1025	63.27	10.97						11.31		550			136			156.52	723.68	
01.06.1990	8.754	20.322	8.656	140.082	13.735	12.48			7.525	16.759	3.842		17.391	22.969				325.341	33.439		12.759				3399.997				1.878	85.534	125.771	29.363		52.383		4.058		11.526			37.886			8.579			33.326		160.034		22.513						18.875	438.045		328.182		27.889	7.027				23.094		71.433	17.712	81.339			24.211	32.777			31.862		53.047								3.751			17.2				1202.135					11.5			143.146	5.942		47.946			260.595		48.076		214.215		18.276				40.405	23.675				160	18.922		198				34.065			82.988			13.904					2.136	149.074		186.975		344.304				1345.878			254.94			25.034			0.555								18.723	199.857		448.223							36.356				724.639	261.525				115.839			182.789	550					6.291						2153.585			271.611		120.5	6.079	241.813	183.52	66	589.961		8.808	46778.46			67.86	26.31				177.01		1600	450		71.42	641.21		337.08	452		81	260	522.5	32.53	706.85			1030.97	4050	113		6850	45.14	386.04	630	127.09	41.44	154	1292.07			180.57				680.38	556.37			104.44	275	5300	186	465	326.37	2261.81			204	3100	278.59			1650		1010		2380		1600	575.34			1.9		171.25		755	5875	600	6300	181.66	1055		114.5	101.51		7075		880.88	598.88	98.5			455		159.76		1250			1060		590		185.58			188.81		2200		949.68						740		360	360	1000	428.99			431.4			65.36	42.1	1850	178.49			71.02	2134.53								465	760	148.24	48.9	212			185	1025	60.4	11.69						12.48		530			149			165.38	723.68	
01.07.1990	8.284	21.098	9.325	134.803	13.288	12.537			7.145	17.216	3.995		17.714	22.969				336.432	33.582		12.759				3489.997				1.989	86.037	117.905	29.744		55.226		4.392		10.867			41.201			8.579			32.726		160.034		24.411						18.279	436.464		308.17		31.86	8.343				24.568		76.463	17.794	76.034			21.583	29.679			39.6		55.354								5.083			16.6				1202.135					12			138.638	6.032		47.946			256.652		46.153		214.215		17.879				43.37	24.873				170	19.641		252				35.065			93.746			14.252					2.018	146.489		177.627		344.304				1369.912			261.659			24.842			0.527								19.063	193.195		455.119							38.461				702.68	249.638				113.328			201.899	550					6.058						2071.804			302.985		127.5	6.839	232.857	208.171	63.5	594.175		9.403	45247.16			67.86	26.8				200.61		1600	465		70.46	678.92		346.99	446.6		85	260	522.5	32.33	706.85			1083.39	4450	90		6850	52.01	366.24	720	136.68	42.77	151.5	1287.12			195.87				678.41	550.94			113.75	287.5	5250	172.5	502.5	348.13	2578.08			235	3300	283.01			1550		980		2300		1500	584.93			1.93		186.25		754	5600	580	6250	234.55	898		120	109.64		8200		885.72	571.66	111.04			472		164.46		1250			1080		535		206.01			198.74		2100		732.23						740		360	320	1010	436.41			364.48			68.75	42.1	1840	179.42			69.63	2183.94								436	850	148.24	48.9	210			180	1100	57.52	11.69						12.54		505			146			177.2	723.68	
01.08.1990	8.19	20.177	8.381	137.97	13.779	12.139			6.689	15.997	4.235		17.388	22.699				322.876	32.067		13.25				3559.997				1.903	96.1	108.596	29.363		55.632		4.22		11.526			40.411			8.579			32.577		156.517		23.959						19.273	426.975		344.19		33.714	8.392				25.305		76.463	20.183	76.918			22.482	29.779			38.69		54.431								5.922			15.6				1193.548					11.5			133.002	6.572		47.946			255.071		47.115		204.901		17.481				45.829	26.623				200	19.162		210				34.52			104.504			14.078					1.909	129.255		177.627		327.089				1393.945			252.964			25.227			0.541								18.723	190.974		393.057							38.461				757.577	247.657				109.024			203.561	570					5.801						2180.845			311.95		123	6.744	237.335	206.345	64.5	564.677		10.236	47567.53			67.86	26.31				204.55		1675	475		68.73	702.5		332.12	484.2		89	265	515	32.13	709.18			1030.97	4210	105		6850	49.1	371.19	670	134.28	43.22	155	1198.01			183.63				631.08	542.8			110.75	265	5230	175	515	330.33	2779.34			221	3200	290.97			1500		985		2350		1530	556.16			1.93		185.5		670	5100	580	6250	223.05	840		125	107.61		8380		861.52	617.03	115.51			498		167.28		1250			1020		480		215.78			199.07		2010		736.66						720		340	326	960	469.44			364.48			72.63	42.1	1850	175.68			67.02	2104.89								425	850	148.24	48.9	210			170	1000	55.61	12.1						12.14		520			143			179.17	723.68	
01.09.1990	7.399	17.558	7.122	112.629	11.166	10.246			5.291	13.255	3.449		15.022	19.006				295.764	24.865		10.109				3379.997				1.78	84.024	87.653	28.219		47.104		3.819		10.867			35.518			8.579			28.233		140.689		18.083						18.875	343.161		246.536		31.772	7.116				23.954		62.579	18.865	75.15			16.602	22.484			29.131		43.822								4.935			15				1150.615					11			123.985	6.482		45.126			240.855		46.153		203.038		17.402				37.863	21.372				185	18.084		162				29.523			89.443			13.73					1.582	103.404		172.952		271.139				1369.912			217.391			24.649			0.399								16.544	133.238		355.13							35.878				658.763	230.816				100.776			194.421	545					4.66						2099.065			297.607		109	6.402	214.945	139.694	57.5	560.463		8.451	45247.16			61.07	23.96				165.21		1750	430		63.35	561.05		277.59	441.2		76	260	482.5	31.54	669.65			996.02	3800	113		6500	42.86	356.35	650	117.49	41.44	132.5	990.09			163.74				510.78	401.67			93	260	4400	165	437.5	311.54	2472.65			190	3100	238.79			1450		900		1800		1590	527.4			1.78		170		520	5150	590	5600	190.86	650		97	105.58		8480		682.44	544.44	102.08			400		155.06		1070			920		420		175.82			173.9		1600		692.29						665		300	285	695	412.82			295.78			73.11	40.23	1630	178.49			59.19	2055.48								350	760	148.24	48.9	204			131	990	41.22	10.25						10.25		450			122			143.73	757.91	
