Date	SWISS CONFEDERATION BOND 1 YEAR - RED. YIELD
01.01.1990	8.068999
01.02.1990	9.092999
01.03.1990	8.787999
01.04.1990	8.580999
01.05.1990	8.971
01.06.1990	8.014
01.07.1990	7.971
01.08.1990	8.263
01.09.1990	8.341999
01.10.1990	7.896999
01.11.1990	7.796
01.12.1990	8.292999
01.01.1991	8.151999
01.02.1991	7.754999
01.03.1991	7.66
01.04.1991	7.629
01.05.1991	7.809999
01.06.1991	7.509
01.07.1991	7.618999
01.08.1991	7.450999
01.09.1991	7.415
01.10.1991	7.389999
01.11.1991	7.839
01.12.1991	7.577
01.01.1992	7.415
01.02.1992	7.160999
01.03.1992	7.285
01.04.1992	7.917
01.05.1992	8.047999
01.06.1992	8.429
01.07.1992	8.513
01.08.1992	8.191
01.09.1992	7.7
01.10.1992	6.959
01.11.1992	6.487
01.12.1992	6.063999
01.01.1993	5.797
01.02.1993	5.047
01.03.1993	4.763
01.04.1993	4.509
01.05.1993	4.606
01.06.1993	4.625999
01.07.1993	4.54
01.08.1993	4.27
01.09.1993	4.335999
01.10.1993	4.212999
01.11.1993	4.023
01.12.1993	3.867
01.01.1994	3.544
01.02.1994	3.653
01.03.1994	3.806
01.04.1994	3.941
01.05.1994	3.858999
01.06.1994	4.044999
01.07.1994	4.367
01.08.1994	4.452
01.09.1994	4.605
01.10.1994	4.348
01.11.1994	4.335999
01.12.1994	4.424
01.01.1995	4.580999
01.02.1995	4.422999
01.03.1995	4.259
01.04.1995	3.667
01.05.1995	3.643999
01.06.1995	3.48
01.07.1995	3.292999
01.08.1995	3.033999
01.09.1995	3.03
01.10.1995	2.658
01.11.1995	2.186999
01.12.1995	1.896
01.01.1996	1.783
01.02.1996	1.797999
01.03.1996	1.882999
01.04.1996	1.811
01.05.1996	1.867
01.06.1996	2.639
01.07.1996	2.5
01.08.1996	2.516999
01.09.1996	2.157
01.10.1996	1.771999
01.11.1996	1.747999
01.12.1996	1.938
01.01.1997	1.723
01.02.1997	1.69
01.03.1997	1.573
01.04.1997	1.719999
01.05.1997	1.771999
01.06.1997	1.247
01.07.1997	1.405999
01.08.1997	1.551999
01.09.1997	1.585999
01.10.1997	1.717999
01.11.1997	1.912999
01.12.1997	1.851999
01.01.1998	1.658
01.02.1998	1.386
01.03.1998	1.132
01.04.1998	1.589999
01.05.1998	1.714999
01.06.1998	1.719999
01.07.1998	2.101
01.08.1998	1.987
01.09.1998	1.594999
01.10.1998	1.665
01.11.1998	1.457999
01.12.1998	1.733
01.01.1999	1.7
01.02.1999	1.367
01.03.1999	1.332
01.04.1999	1.342999
01.05.1999	1.158999
01.06.1999	1.223
01.07.1999	1.589
01.08.1999	1.660999
01.09.1999	1.726
01.10.1999	2.249
01.11.1999	2.516999
01.12.1999	2.487
01.01.2000	2.299
01.02.2000	2.613999
01.03.2000	2.985999
01.04.2000	3.337
01.05.2000	3.612
01.06.2000	3.708292
01.07.2000	3.778
01.08.2000	3.900999
01.09.2000	3.783999
01.10.2000	3.639999
01.11.2000	3.596999
01.12.2000	3.558999
01.01.2001	3.276999
01.02.2001	3.202999
01.03.2001	3.228
01.04.2001	2.992
01.05.2001	3.143
01.06.2001	3.157
01.07.2001	3.141
01.08.2001	3.098
01.09.2001	2.766999
01.10.2001	2.245999
01.11.2001	1.823999
01.12.2001	2.058
01.01.2002	2.106999
01.02.2002	2.072
01.03.2002	2.139999
01.04.2002	2.117
01.05.2002	2.011
01.06.2002	1.738999
01.07.2002	1.606
01.08.2002	1.077999
01.09.2002	0.929
01.10.2002	0.944
01.11.2002	0.684
01.12.2002	0.925
01.01.2003	0.559
01.02.2003	0.589
01.03.2003	0.484
01.04.2003	0.386
01.05.2003	0.44
01.06.2003	0.276
01.07.2003	0.324
01.08.2003	0.357
01.09.2003	0.394
01.10.2003	0.315
