Date	SWISS CONFEDERATION BOND 1 YEAR - RED. YIELD
01.11.2003	0.449
01.12.2003	0.582
01.01.2004	0.484
01.02.2004	0.433
01.03.2004	0.356
01.04.2004	0.388
01.05.2004	0.677
01.06.2004	0.752
01.07.2004	1.030999
01.08.2004	0.961
01.09.2004	0.874
01.10.2004	0.969
01.11.2004	0.869
01.12.2004	0.988
01.01.2005	0.87
01.02.2005	0.869
01.03.2005	0.913
01.04.2005	0.839
01.05.2005	0.777
01.06.2005	0.732
01.07.2005	0.662
01.08.2005	0.856
01.09.2005	0.845
01.10.2005	0.912
01.11.2005	1.169999
01.12.2005	1.400999
01.01.2006	1.247999
01.02.2006	1.297999
01.03.2006	1.474999
01.04.2006	1.577999
01.05.2006	1.672999
01.06.2006	1.813
01.07.2006	1.884
01.08.2006	1.842999
01.09.2006	1.934999
01.10.2006	1.964999
01.11.2006	2.025
01.12.2006	2.103999
01.01.2007	2.278
01.02.2007	2.4
01.03.2007	2.348
01.04.2007	2.412
01.05.2007	2.492999
01.06.2007	2.710999
01.07.2007	2.863999
01.08.2007	2.829
01.09.2007	2.749
01.10.2007	2.787
01.11.2007	2.728999
01.12.2007	2.579
01.01.2008	2.719999
01.02.2008	2.358
01.03.2008	2.516
01.04.2008	2.570999
01.05.2008	2.5
01.06.2008	2.424999
01.07.2008	2.582999
01.08.2008	2.45
01.09.2008	2.686
01.10.2008	2.452999
01.11.2008	1.974
01.12.2008	0.877
01.01.2009	0.407
01.02.2009	0.336
01.03.2009	0.425
01.04.2009	0.34
01.05.2009	0.294
01.06.2009	0.248
01.07.2009	0.263
01.08.2009	0.242
01.09.2009	0.314
01.10.2009	0.312
01.11.2009	0.332
01.12.2009	0.279
01.01.2010	0.281
01.02.2010	0.258
01.03.2010	0.173
01.04.2010	0.258
01.05.2010	0.257
01.06.2010	0.16
01.07.2010	0.188
01.08.2010	0.36
01.09.2010	0.412
01.10.2010	0.514
01.11.2010	0.506
01.12.2010	0.471
01.01.2011	0.374
01.02.2011	0.437
01.03.2011	0.367
01.04.2011	0.476
01.05.2011	0.489
01.06.2011	0.344
01.07.2011	0.231
01.08.2011	0.318
01.09.2011	0.111
01.10.2011	0.121
01.11.2011	0.16
01.12.2011	0.156
01.01.2012	0.155
01.02.2012	0.187
01.03.2012	0.202
01.04.2012	0.223
01.05.2012	0.204
01.06.2012	0.129
01.07.2012	0.095
01.08.2012	0.024
01.09.2012	0.012
01.10.2012	0.119
01.11.2012	0.137
01.12.2012	0.113
01.01.2013	0.059
01.02.2013	0.137
01.03.2013	0.118
01.04.2013	0.119
01.05.2013	0.081086
01.06.2013	0.092697
01.07.2013	0.071695
01.08.2013	0.076493
01.09.2013	0.098233
01.10.2013	0.101077
01.11.2013	0.096865
01.12.2013	0.055979
01.01.2014	0.045199
01.02.2014	0.041639
01.03.2014	0.049545
01.04.2014	0.089844
01.05.2014	0.109105
01.06.2014	0.068251
01.07.2014	0.103655
01.08.2014	0.109106
01.09.2014	0.069046
01.10.2014	0.058401
01.11.2014	0.036112
01.12.2014	-0.024446
01.01.2015	-0.09425
01.02.2015	-0.741243
01.03.2015	-0.879685
01.04.2015	-0.804163
01.05.2015	-0.829395
01.06.2015	-0.851187
01.07.2015	-0.903961
01.08.2015	-0.818589
01.09.2015	-0.774239
01.10.2015	-0.814537
01.11.2015	-0.860368
01.12.2015	-1.022989
01.01.2016	-0.814827
01.02.2016	-0.874368
01.03.2016	-0.975679
01.04.2016	-0.838049
01.05.2016	-0.659513
01.06.2016	-0.661658
01.07.2016	-0.788354
01.08.2016	-0.710088
01.09.2016	-0.71111
01.10.2016	-0.750071
01.11.2016	-0.617039
01.12.2016	-0.654789
01.01.2017	-0.634569
01.02.2017	-0.646015
01.03.2017	-0.66413
01.04.2017	-0.642785
01.05.2017	-0.637405
01.06.2017	-0.643915
01.07.2017	-0.640059
01.08.2017	-0.623284
01.09.2017	-0.645015
01.10.2017	-0.649514
01.11.2017	-0.673
01.12.2017	-0.692
01.01.2018	-0.704
01.02.2018	-0.743
01.03.2018	-0.659
01.04.2018	-0.654
01.05.2018	-0.624
01.06.2018	-0.632
01.07.2018	-0.622
01.08.2018	-0.618
01.09.2018	-0.629
01.10.2018	-0.63
01.11.2018	-0.644
01.12.2018	-0.663
01.01.2019	-0.647
01.02.2019	-0.67
01.03.2019	-0.647
01.04.2019	-0.631
01.05.2019	-0.602
01.06.2019	-0.625
01.07.2019	-0.68
01.08.2019	-0.781
01.09.2019	-0.919
01.10.2019	-0.714
01.11.2019	-0.655
01.12.2019	-0.662
