Date	NESN	ROG	NOVN	ZURN	ABBN	UBSG	LONN	GIVN	SIKA	LHN	CFR	ALC	CSGN	SREN	SCMN	GEBN	PGHN	SGSN	EMSN	KNIN	SCHN	SOON	STMN	BARN	LISN	CLN	DUFN	BAER	LOGN	SLHN	ADEN	BCVN	PSPN	SUN	TEMN	VIFN	ALLN	ALSN	AMS	BANB	BALN	BION	BEAN	BELL	BEKN	BKW	BUCN	CMBN	CON	COPN	DAE	DKSH	DOKA	DESN	EFGN	EMMN	FHZN	FORN	GALE	FIN	HBMN	HELN	HUBN	IDIA	IFCN	INRN	KARN	LAND	LEHN	LLBN	LUKN	MOVE	MOBN	OERL	PARG	RLF	HREN	SWTQ	SFSN	SFZN	SIGN	SWON	SGKN	SRAIL	SRCG	SPSN	SQN	TECN	UHR	VACN	VONN	VZN	WKBN	YPSN	ZUGER	ROSE	ADXN	ADVN	AEVS	AIRE	ALPN	AFP	APGN	ARBN	ARYN	ASCN	ASWN	AUTN	LINN	BCGE	BCJ	BPDG	BLKB	BSLN	BSKP	BBN	BLIN	BLS	BOBNN	BOSN	TIBN	BCHN	BRKN	BVZN	CALN	SKIN	CIE	CICN	CLTN	COTN	CFT	CPHN	CLXN	DCN	ESUN	ELMN	EDHN	RUS	EVE	FTON	FREN	GAM	GAV	GLKBN	GRKP	GMI	GUR	HIAG	HLEE	HOCN	HBLN	IMHE	IMPN	ISN	IREN	VBSN	JFN	KLIN	KOMN	KUD	KURN	LLQ	LMN	LECN	LEON	MCHN	MED	MTG	METN	MBTN	MIKN	MOZN	MOLN	NBEN	NEWN	NREN	ODHN	OFN	ORON	PEAN	PRFN	PEDU	PM	PLAN	PNHO	POLN	RIEN	SANN	SAHN	STRN	SNBN	SENS	SHLTN	STGN	SFPN	STLN	NTIV	TKBP	TOHN	TXGN	UBXN	ARON	VLRT	VATN	VALN	VARN	VAHN	VETN	VILN	ROL	VPBN	WARN	WIHN	ZEHN	ZUBN	ZUGN	ZWM	ACUN	ACIN	ACON	ADBN	AFIP	AGIN	ALCN	ALE	951884	APHN	ALPH	ALU	AMSN	AIRN	ASKN	ATRI	AXAN	BACP	SGC	BC	BAP	RIVN	BBIN	BERN	922604	BIG	BXL	BIZ	BOAN	BON	BUCP	FUR	CKWP	CANN	CEM	CEPN	CEVA	CHAM	VCH	CHN	CIBN	CIG	DAZP	DAYN	DMS	DSF	EDI	RLD	EGL	ELHN	929877	779121	EMT	ESEN	FOTO	933476	FUS	GATE	GENN	GEN	881890	779443	GNR	GOL	GOM	GG	GOT	GCZ	GIGN	HAR	HIZN	HER	HIEN	HILP	933459	HPTN	HLM	HUE	IMI	CGAN	INI	IHSN	MDXN	JAC	JELN	KER	992835	KUNN	LGSN	LBBN	LGLP	LOUN	LOEP	LOHN	933467	LUMX	LURN	992839	HIT	MIC	MASN	MIND	MIRN	MXN	MOV	MTPR	730990	NLEN	NET	NEV	NWEN	NOBE	NIHN	ORID	ORI	PWTN	PAXN	PEL	PIC	POR	PRWN	PNE	PUBN	QUAN	TTO	RESN	RE	932437	933481	SBEN	SAKN	SAUN	SBSI	SGPR	SGRN	SCI	SELN	SEZN	SG	SIAN	SIB	SHLN	SIM	SOPN	779447	539551	SPH	504701	SSTE	SWIN	SLOG	SMET	SYNN	SYST	TSGN	MSSN	UBSN	ULB	933500	UTA	VIJN	993194	MIV	WINT	ZEL	ZKKN	692395
01.12.1989	13936000	11624000							311011	2921200	2411109		8357000	2782430				788773	1032648		978700				164176				66137	276511	419204	640956		2149000		194731		10657			2166100			29937		201636	235978		185100		467950							506500		736000							36813		55467	141862	566965			2828275	1704731			8032		115192	317000							14400	892000		345400				185372					73497						949509			123606	268577	66227		201109		302655				373314	114613					55735									40564			210461					493295	119765		309370		183700		62308		98813			366951														162534	81643		81350							36386				8675	42965				717494			33979						219575						13647			198525			118020		711380	374080			71400				15541	111855				135253		24531	52418		277000	1508597		158411			458796	142150	54243	345095					410514			4609008	103527	28303			209794	225471	336735			111356				16237000	379540			266470	60243		254995	185400	1011162	602600			56261	52811	122880		58757	58757		98281		82511		20763	564662			150275		307765		541157	312521	55808	305191	61548	317272		11889	64075		2054342	591300	366282	78795	132137			806465		92148		56141			151400				96089			318100		93600		26136									156850	46994	76956			379094			173547	85410	85868	47292		126043		701795			198905					187232	208674	19103	44813	125591	81324		13166	54741	221019	308000	90297							74700			2053949			502008	231949	6471404
01.01.1990	13414000	13243000							362902	2709800	2411109		8717000	2776420				763860	1053616		971700				173711				66137	308465	420424	794294		2105000		193286		14782			1746100			32156		201897	269200		211474		468317							524800		844769			105633				36813		61840	148912	640682			1919175	1754944			12713		106153	425871							11584	1050000		345400				184252					77314			116221			972000			123995	316691	66524		211837		165092				384506	142092					58838									40564			208662					527402	119765		313849		192767		95677		101285			366951														139600	83748		81350							35241				8675	54212				731723			35915						227822						13647			488271			127638		717718	380536			96100				16646	112173				121782		24603	51422		277000	1629000		158411			523427	139659	55003	372924					400311			4386677	117956	28378			209794	225471	423402			113034				15453814	384362			299015	139466		254995	204200	1011162	616300			39885	54224	133083		58994	58994		112610		77342		21253	575918			180139		360708		554559	350952	59526	305191	64013	332866		11889	64075			592500	317801	80220	242400			652681		92148		60838		82783	153100				101060			357450		37100		119									131589	47157	90430			457251			173547	85605	89184	47292		131848		717787			218525					187232	208674	19103	44960	125823	83643		12880	54741	204731	305600	95183							79200			2201053			462420	239948	5997138
01.02.1990	13414000	13243000							362902	2709800	2411109		8717000	2776420				763860	1053616		971700				173711				66137	308465	420424	794294		2105000		193286		14782			1746100			32156		201897	269200		211474		468317							524800		844769			105633				36813		61840	148912	640682			1919175	1754944			12713		106153	425871							11584	1050000		345400				184252					77314			116221			972000			123995	316691	66524		211837		165092				384506	142092					58838									40564			208662					527402	119765		313849		192767		95677		101285			366951														139600	83748		84523							35241				8675	54212				731723			35915						227822						13647			488271			127638		717718	380536			96100				16646	112173				121782		24603	51422		277000	1629000		158411			523427	139659	55003	372924					400311			4386677	117956	28378			209794	225471	423402			113034				15453814	384362			299015	139466		254995	204200	1614000	616300			39885	54224	133083		58994	58994		112610		77342		21253	575918			180139		360708		554559	350952	59526	305191	64013	332866		11889	64075			592500	317801	80220	242400			652681		93505		60838		82783	153100				101060			357450		37100		119									131589	47157	90430			457251			173547	85605	89184	47292		131848		717787			218525					187232	208674	19103	44960	125823	83643		12880	54741	204731	305600	95183							79200			2201053			462420	239948	5997138
01.03.1990	13414000	13243000							362902	2709800	2411109		8717000	2776420				763860	1053616		971700				173711				66137	308465	420424	794294		2105000		193286		14782			1746100			32156		201897	269200		211474		468317							524800		844769			105633				36813		61840	148912	640682			1919175	1754944			12713		106153	425871							11584	1050000		345400				184252					77314			116221			972000			123995	316691	66524		211837		165092				384506	142092					58838									40564			208662					527402	119765		313849		192767		95677		101285			366951														139600	83748		84523							35241				8675	54212				731723			35915						227822						13647			488271			127638		717718	380536			96100				16646	112173				121782		24603	51422		277000	1629000		158411			523427	139659	55003	372924					400311			4386677	117956	28378			209794	225471	423402			113034				15453814	384362			299015	139466		254995	204200	1614000	616300			39885	54224	133083		58994	58994		112610		77342		21253	575918			180139		360708		554559	350952	59526	305191	64013	332866		11889	64075			592500	317801	80220	242400			652681		93505		60838		82783	153100				101060			357450		37100		119									131589	47157	90430			457251			173547	85605	89184	47292		131848		717787			218525					187232	208674	19103	44960	125823	83643		12880	54741	204731	305600	95183							79200			2201053			462420	239948	5997138
01.04.1990	13414000	13243000							362902	2709800	2882428		8717000	2776420				763860	1053616		971700				173711				70417	308465	420424	794294		2105000		193286		14782			1746100			32156		201897	269200		211474		468317							524800		844769			105633				36813		61840	148912	640682			1919175	1754944			12713		106153	425871							11584	1050000		345400				184252					77314			116221			972000			123995	316691	66524		211837		165092				384506	142092					58838									40564			208662					527402	107484		313849		192767		95677		101285			541598														139600	83748		84523							35241				8675	54212				731723			35915						227822						13647			488271			127638		717718	380536			96100				16646	112173				121782		24603	51422		277000	1629000		170301			523427	139659	55003	372924					400311			4386677	117956	28378			209794	225471	423402			113034				15453814	384362			299015	139466		254995	204200	1614000	616300			39885	54224	133083		58994	58994		112610		77342		21253	575918			180139		360708		554559	350952	59526	305191	64013	332866		11889	64075			592500	317801	80220	242400			652681		93505		60838		82783	153100				101060			357450		37100		119									131589	47157	90430			457251			173547	85605	89184	70113		131848		717787			218525					187232	204929	19184	44960	125823	83643		12880	54741	204731	305600	95183							79200			2201053			462420	239948	5997138
01.05.1990	13414000	13243000							362902	2709800	2882428		8717000	2776420				763860	1053616		971700				173711				70417	308465	420424	794294		2105000		193286		14782			1746100			32156		201897	269200		211474		468317							524800		844769			105633				36813		61840	148912	640682			1919175	1754944			12713		106153	425871							11584	1050000		345400				184252					77314			116221			972000			123995	316691	66524		211837		165092				384506	142092					58838									40564			208662					527402	107484		313849		192767		95677		101285			541598														139600	83748		84523							35241				9149	54212				731723			35915						227822						13647			488271			127638		717718	380536			96100				16646	112173				121782		24603	51422		277000	1629000		170301			523427	139659	55003	372924					400311			4386677	117956	28378			209794	225471	423402			113034				15453814	384362			299015	139466		254995	204200	1614000	616300			39885	54224	133083		58994	58994		112610		77342		21253	575918			180139		360708		554559	350952	59526	305191	64013	332866		13214	64075			592500	317801	80220	242400			652681		93505		60838		82783	153100				101060			357450		37100		119									131589	47157	90430			457251			173547	85605	89184	70113		131848		717787			218525					187232	204929	19184	44960	125823	83643		12880	54741	204731	305600	95183							79200			2201053			462420	239948	5997138
01.06.1990	13414000	13243000							362902	2709800	2882428		8717000	2776420				763860	1053616		971700				173711				70417	308465	420424	794294		2105000		193286		14782			1746100			32156		201897	269200		211474		468317							524800		844769			105633				42631		61840	148912	640682			1919175	1754944			12713		106153	425871							11584	1050000		345400				184252					77314			116221			972000			123995	316691	66524		211837		165092				384506	142092					58838									40564			208662					527402	107484		313849		192767		95677		101285			541598														139600	83748		84523							35241				9149	54212				731723			35915						227822						13647			488271			127638		717718	380536			96100				16646	112173				121782		24603	51422		277000	1629000		170301			523427	139659	55003	372924					400311			4386677	117956	28378			209794	225471	423402			113034				15453814	384362			299015	139466		254995	204200	1614000	616300			39885	54224	133083		58994	58994		112610		77342		21253	575918			180139		360708		554559	350952	59526	305191	64013	332866		13214	64075			592500	317801	80220	242400			652681		93505		60838		82783	153100				101060			357450		37100		119									131589	47157	90430			457251			173547	85605	89184	70113		131848		717787			218525					187232	204929	19184	44960	125823	83643		12880	54741	204731	305600	95183							79200			2201053			462420	239948	5997138
01.07.1990	13414000	13243000							362902	2709800	2882428		8717000	2776420				763860	1053616		971700				173711				70417	308465	420424	794294		2105000		193286		14782			1746100			32156		201897	269200		211474		468317							524800		844769			105633				42631		61840	148912	640682			1919175	1754944			12713		106153	425871							11584	1050000		345400				184252					77314			116221			972000			123995	316691	66524		211837		165092				384506	142092					58838									40564			208662					527402	107484		313849		192767		95677		101285			541598														139600	83748		84523							35241				9149	54212				731723			35915						227822						13647			488271			127638		717718	380536			96100				16646	112173				121782		24603	51422		277000	1629000		170301			523427	139659	55003	372924					400311			4386677	117956	28378			209794	236198	423402			113034				15453814	384362			299015	139466		254995	204200	1614000	616300			39885	54224	133083		58994	58994		112610		77342		21253	575918			180139		360708		554559	350952	59526	305191	64013	332866		13214	57797			592500	317801	80220	242400			652681		93505		60838		82783	153100				101060			357450		37100		119									131589	47157	90430			457251			173547	85605	89184	70113		131848		717787			218525					187232	204929	19184	44960	125823	83643		12880	55026	204731	305600	95183							79200			2201053			462420	239948	5997138
01.08.1990	13414000	13243000							362902	2709800	2882428		8717000	2776420				763860	1053616		971700				173711				70417	308465	420424	794294		2105000		193286		14782			1746100			32156		201897	269200		211474		468317							524800		844769			105633				42631		61840	148912	640682			1919175	1754944			12713		106153	425871							11584	1050000		345400				184252					77314			116221			972000			123995	316691	66524		211837		165092				384506	142092					58838									40564			208662					527402	107484		313849		192767		95677		101285			541598														139600	83748		84523							35241				9149	54212				731723			35915						227822						13647			488271			127638		717718	380536			96100				16646	112173				121782		24603	51422		277000	1629000		170301			523427	139659	55003	372924					400311			4386677	117956	28378			209794	236198	423402			113034				15453814	384362			299015	139466		254995	204200	1614000	616300			39885	54224	133083		58994	58994		112610		77342		21253	575918			180139		360708		554559	350952	59526	305191	64013	332866		13214	57797			592500	317801	80220	242400			652681		93505		60838		82783	153100				101060			357450		37100		119									131589	47157	90430			457251			173547	85605	89184	70113		131848		717787			218525					187232	204929	19184	44960	125823	83643		12880	55026	204731	305600	95183							79200			2201053			462420	239948	5997138
01.09.1990	13414000	13243000							362902	2709800	2882428		8717000	2776420				763860	1053616		971700				173711				70417	308465	420424	794294		2105000		193286		14782			1746100			32156		201897	269200		211474		468317							524800		844769			105633				42631		61840	148912	640682			1919175	1754944			12713		106153	425871							11584	1050000		345400				184252					77314			116221			972000			123995	316691	66524		211837		165092				384506	142092					58838									40564			208662					527402	107484		313849		192767		95677		101285			541598														139600	83748		84523							35241				9149	54212				731723			35915						227822						13996			488271			127638		717718	380536			96100				16646	112173				121782		24603	51422		277000	1629000		170301			523427	139659	55003	372924					400311			4386677	117956	28378			209794	236198	423402			113034				15453814	384362			299015	139466		254995	204200	1614000	616300			39885	54224	133083		58994	58994		112610		77342		21253	575918			180139		360708		554559	350952	59526	305191	64013	332866		13214	57797			592500	317801	80220	242400			652681		93505		60838		82783	153100				101060			357450		37100		119									131589	47157	90430			457251			173547	85605	89184	70113		131848		717787			218525					187232	204929	19184	44960	125823	83643		12880	55026	204731	305600	95183							79200			2201053			462420	239948	5997138
