Date	RMRFEU	SMBEU	HMLEU	WMLEU	RMRFNA	SMBNA	HMLNA	WMLNA	RMRFJAP	SMBJAP	HMLJAP	WMLJAP
01.05.1995	1.76	-0.28	0.46	-0.61	2.94	-1.89	1.2	-0.33	-6.79	-2.61	-0.67	2.17
01.06.1995	1	-0.06	-0.63	3.4	2.5	3.41	-2.9	3.87	-4.6	-1.67	1.93	0.52
01.07.1995	3.99	-1.4	-1.03	0.97	3.6	2.37	-2.39	3.01	5.9	0.11	-2.44	-5.73
01.08.1995	-4.05	1.21	-2.29	1.89	0.49	1.36	2.17	0.11	-3.08	3.1	-0.53	-4.63
01.09.1995	2.37	-0.48	-1.93	5.82	3.19	-1.48	-0.92	2.14	-1.6	-1.8	-1.94	1.73
01.10.1995	-0.71	-0.89	-0.29	4.58	-1.58	-4.09	-0.51	2.92	-4.32	1.86	-0.66	2.08
01.11.1995	-0.32	-3.27	0.78	2.15	3.93	-0.54	0.01	-0.55	4.09	0.74	0.45	-1.36
01.12.1995	1.84	-1.18	1.03	-0.34	1.01	0.53	-0.52	1.32	4.35	1.78	2.57	-6.15
01.01.1996	0.44	0.09	0.12	-0.73	2.45	-2.49	0	0.9	-1.67	3.14	2.04	-1.99
01.02.1996	1.88	1.41	0.21	1.76	1.25	2.19	-1.92	1.59	-1.84	-0.34	-0.3	-1.72
01.03.1996	0.89	0.27	0.51	2.6	0.83	1.28	0.85	-1.39	2.6	-0.89	-0.96	0.04
01.04.1996	0.62	0.75	0.37	1.17	1.99	5.31	-3.07	0.26	6.38	5	1.25	-2.42
01.05.1996	1.5	1.78	-0.28	2.09	2.14	3.27	-1.33	2.02	-4.91	0.91	0.63	-1.11
01.06.1996	0.22	-0.63	0.33	1.29	-1.03	-4.45	2	-1.02	-0.03	-1.69	1.19	0.46
01.07.1996	-1.79	-0.39	0.97	-2	-5.8	-4.5	5.6	-1.45	-5.17	-1.24	1.03	-4.27
01.08.1996	2.26	-0.69	-1.49	2.63	2.87	2.44	-0.38	0.8	-4.72	0.67	-0.44	0.51
01.09.1996	1.17	-2.67	0.49	2.42	4.87	-1.39	-2.61	2.62	2.44	-4.78	0.43	-0.28
01.10.1996	1.55	1.01	-1.3	3.47	1.31	-3.62	5.33	2.47	-7.28	0.5	0.45	1.06
01.11.1996	4.08	-2.71	1.01	1.37	6.31	-4.33	2.34	-1.93	0.22	-5.03	1.37	1.19
01.12.1996	2.01	-0.12	0.75	1.64	-1.68	3.08	0.59	0.17	-7.52	-4.63	2.02	2.19
01.01.1997	-0.35	0.69	2.01	0.78	4.97	-1.45	-1.54	2.39	-11.18	0.68	1.09	4.09
01.02.1997	0.68	0.62	-0.25	0.56	-0.36	-3.46	5.03	-3.13	1.46	-2.5	-0.5	-0.74
01.03.1997	2.04	-1.19	1.09	-0.95	-4.9	-1.23	3.87	0.78	-4.1	-4.37	1.67	3.67
01.04.1997	-0.75	-1.42	0.19	2.06	3.9	-6.54	-0.14	4.78	1.49	-5.23	-0.18	4.05
01.05.1997	4.14	-1.22	1.1	2.22	6.63	5.3	-3.62	-3.89	13.05	4.32	-4.38	-4.04
01.06.1997	3.66	-3.66	1.04	0.92	3.88	0.44	1.12	2.74	5.44	-3.08	-0.67	-2.6
01.07.1997	3.12	-5.85	1.81	2.54	7.29	-2.64	-0.3	3.71	-4.44	-7.38	-2.26	11.61
01.08.1997	-5.29	6.12	-0.87	-2.23	-4.07	7.62	0.25	-1.69	-9.83	-1.23	0.27	-0.75
01.09.1997	8.74	-4.01	2.67	3.92	5.45	2.66	0.08	2.35	-2.96	-11.43	-1.97	10.62
01.10.1997	-4.88	4.06	0.89	-1.44	-3.76	-1.32	2.64	0.21	-8.07	8.08	-0.86	-1.68
01.11.1997	0.75	-2.9	-0.49	-0.53	2.53	-6.39	0.9	0.82	-8.35	-9.47	-3.2	11.71
01.12.1997	2.26	-3.77	1.95	2.92	1.4	-2.48	3.43	2.86	-8.12	-6.69	-1.79	9.84
01.01.1998	3.16	-1.37	0.46	3.95	-0.02	-1.47	-1.97	0.06	10.55	13.35	1.95	-19.83
01.02.1998	7.49	-1.82	1	1.39	7.01	0	-0.71	-0.42	0.82	4.59	1.01	-7.25
01.03.1998	6.91	1.09	4.53	2.17	4.84	-1.01	1.25	1.43	-6.92	-2.94	1.22	4.72
01.04.1998	2.19	1.54	-0.56	-1.27	0.83	0.28	0.36	0.93	-2.29	-2.41	-1.83	4.35
01.05.1998	2.22	2.14	1.01	0.98	-2.84	-3.47	2.91	1.94	-4.9	0.27	0.57	-0.13
01.06.1998	-0.5	-3.19	-1.88	2.36	2.88	-3.66	-2.38	7.59	0.31	0.08	0.34	-0.24
01.07.1998	1.53	-3.68	1.5	6.33	-2.76	-5.09	-1.76	3.41	-1.63	0.74	-1.65	2.62
01.08.1998	-12.08	1.72	-2.51	-1.87	-16.32	-4.96	1.86	0.62	-9.26	1.53	-1.58	5.75
01.09.1998	-4.84	1.19	-2.7	-5.14	5.98	0.61	-3.5	-0.15	-3.91	-1.76	-2.4	2.91
01.10.1998	6.59	-5.96	0.83	0.24	7.05	-3.36	-1.35	-3.84	16.12	-4.67	1.65	-6.11
01.11.1998	4.24	-3.07	0.72	2.94	5.82	0.82	-4.13	1.78	3.63	1.38	2.09	-8.6
01.12.1998	2.88	-2.53	-1.89	4.84	5.95	-0.27	-4.88	9.85	2.78	0.09	-1.98	6.9
01.01.1999	-0.43	-0.16	-2.07	5.95	3.35	-0.4	-4.45	5.11	0.79	-0.48	-0.42	-0.3
01.02.1999	-2.19	2.7	-1.1	-1.92	-4.16	-4.9	1.89	-1.17	-2.6	4.13	-4.57	1.57
01.03.1999	-0.03	-0.27	1.38	-7.9	3.34	-3.2	-2.3	1.39	13.61	-0.61	1.6	-4.21
01.04.1999	2.95	0.82	1.87	-7.45	4.34	3.36	3.35	-8.08	4.67	4.4	3.89	-2.19
01.05.1999	-3.8	4.48	0.11	3.37	-2.12	3.25	1.55	-2	-5.32	-0.19	-1.19	-2.71
01.06.1999	1.71	-0.04	0.52	1.12	4.71	1.87	-3.47	6.63	10.47	9.63	-6.01	11.54
01.07.1999	1.12	3.36	0.35	3.64	-3.37	1.69	1.24	1.65	9.94	-4.01	0.54	4.59
01.08.1999	1.34	3.92	-1.09	4.8	-1.37	-0.91	-2.19	2.77	2.8	1.6	0.04	7.45
01.09.1999	-0.32	2.16	-1.8	1.62	-2.69	3.94	-4.19	6.27	6.82	-2.33	-3.89	8.36
01.10.1999	1.72	-1.11	-3.81	5.68	5.63	-6.33	-3.02	3.39	6.21	-5.45	-5.71	6.51
01.11.1999	2.76	1.14	-9.05	12.67	2.84	6.24	-8.35	9.27	7.24	-5.25	-14.25	14.95
01.12.1999	9.26	-4.82	-4.26	6.12	7.11	5.67	-8.72	18.98	3.61	-7.91	-8.24	7.94
01.01.2000	-7.12	9.39	-6.12	6.16	-4.28	3.35	0.06	3.29	-5.36	1.64	6.32	-6.08
01.02.2000	5.87	1.73	-9.5	8.55	1.64	21.23	-14.07	29.32	-1.72	2.74	-7.86	14.8
01.03.2000	0.66	-5.25	3.23	-11.29	6.83	-16.6	9.64	-12.78	6.1	0.86	6.03	-14.93
01.04.2000	-5.58	-5.42	5.8	-9.15	-4.86	-5.2	7.19	-12.41	-9.09	-3.17	2.44	-6.61
01.05.2000	-0.07	-0.12	6.06	-6.83	-3.55	-4.02	5.25	-12.3	-7.55	4.83	10.05	-13.5
