Date	ABB	Actelion	Adecco	Alusuisse	Baloise	Ciba_SC	Ciba_Geigy_I	Ciba_Geigy_PS	Clariant	Compagnie_Financiere_Richemont	Credit_Suisse_Group	Credit_Suisse_Holding	Elektrowatt	EMS_Chemie_Holding	Geberit	Georg_Fischer	Givaudan	Holcim	Jacobs_Suchard	Julius_Baer_Group	Kudelski	LafargeHolcim	Lonza_Group	Merck_Serono	Nestle_I	Nestle_PS	Nobel_Biocare_Holding	Novartis_I	Novartis_N	OC_Oerlikon_Corporation	Pargesa_Holding	Roche_Holding	SAirGroup	Sandoz_PS	Sandoz_N	Schweizerische_Volksbank_StN	Schweizerische_Volksbank_ST	SGS	Sika	Societe_Internationale_Pirelli	Sulzer	Swiss_Bank_I	Swiss_Bank_PS	Swiss_Bank_N	Swiss_Life_Holding_I	Swiss_Life_Holding_N	Swiss_Re	Swissair	Swisscom	Syngenta	Synthes	The_Swatch_Group_I	The_Swatch_Group_N	Transocean	UBS_N	UBS_PS	UBS_I	Winterthur	Zurich_Insurance_Group_I	Zurich_Insurance_Group_N
1994-05-16	0.562123083	NA	NA	0.815595698	NA	NA	0.971765958	1.040807859	NA	NA	NA	1.520631661	0.551552305	NA	NA	NA	NA	0.846740973	NA	NA	NA	NA	NA	NA	NA	0.917344861	NA	NA	NA	NA	NA	0.89724482	NA	NA	0.845152739	NA	NA	NA	NA	NA	NA	1.308703371	NA	1.269728521	NA	NA	1.066677163	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.055738905	1.058414692	0.925397963	NA
1994-05-17	0.571206089	NA	NA	0.822732858	NA	NA	0.973337287	1.044989475	NA	NA	NA	1.528691654	0.549286478	NA	NA	NA	NA	0.848669887	NA	NA	NA	NA	NA	NA	NA	0.921256263	NA	NA	NA	NA	NA	0.904894484	NA	NA	0.836413017	NA	NA	NA	NA	NA	NA	1.309468232	NA	1.272224985	NA	NA	1.062810891	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.054066316	1.057051227	0.92596262	NA
1994-05-18	0.572360392	NA	NA	0.819857967	NA	NA	0.970895145	1.043717157	NA	NA	NA	1.527627222	0.548032816	NA	NA	NA	NA	0.849474193	NA	NA	NA	NA	NA	NA	NA	0.922052431	NA	NA	NA	NA	NA	0.903312204	NA	NA	0.836056858	NA	NA	NA	NA	NA	NA	1.308489955	NA	1.272320663	NA	NA	1.062434192	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.056356538	1.060632588	0.929501963	NA
1994-05-19	0.569179016	NA	NA	0.81444387	NA	NA	0.968670835	1.041375167	NA	NA	NA	1.520352564	0.544958352	NA	NA	NA	NA	0.846606064	NA	NA	NA	NA	NA	NA	NA	0.921466266	NA	NA	NA	NA	NA	0.903285649	NA	NA	0.835598498	NA	NA	NA	NA	NA	NA	1.310595073	NA	1.273780378	NA	NA	1.063331456	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.050226695	1.065784419	0.932034764	NA
1994-05-20	0.568980563	NA	NA	0.81580967	NA	NA	0.970393018	1.042953473	NA	NA	NA	1.521902459	0.544687456	NA	NA	NA	NA	0.847744075	NA	NA	NA	NA	NA	NA	NA	0.921875886	NA	NA	NA	NA	NA	0.904147344	NA	NA	0.835885498	NA	NA	NA	NA	NA	NA	1.311751163	NA	1.27481974	NA	NA	1.06245375	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.052046034	1.06540648	0.933305551	NA
1994-05-23	0.568604643	NA	NA	0.816357408	NA	NA	0.97035247	1.043089123	NA	NA	NA	1.521188504	0.545405807	NA	NA	NA	NA	0.84808558	NA	NA	NA	NA	NA	NA	NA	0.922212077	NA	NA	NA	NA	NA	0.904335898	NA	NA	0.835835429	NA	NA	NA	NA	NA	NA	1.312067019	NA	1.275029332	NA	NA	1.061962447	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.05231312	1.066102031	0.933525806	NA
1994-05-24	0.558642012	NA	NA	0.808714725	NA	NA	0.971698538	1.035905025	NA	NA	NA	1.518473631	0.5379544	NA	NA	NA	NA	0.838288752	NA	NA	NA	NA	NA	NA	NA	0.92334551	NA	NA	NA	NA	NA	0.905231882	NA	NA	0.850614196	NA	NA	NA	NA	NA	NA	1.314681958	NA	1.281730911	NA	NA	1.061587614	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.048512757	1.065037843	0.930150672	NA
1994-05-25	0.556124498	NA	NA	0.810362717	NA	NA	0.96913893	1.033954037	NA	NA	NA	1.52662484	0.543471554	NA	NA	NA	NA	0.837524397	NA	NA	NA	NA	NA	NA	NA	0.921473518	NA	NA	NA	NA	NA	0.90815696	NA	NA	0.848736876	NA	NA	NA	NA	NA	NA	1.315998975	NA	1.280539117	NA	NA	1.059975682	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.045041836	1.062050557	0.928563922	NA
1994-05-26	0.554818318	NA	NA	0.817460561	NA	NA	0.971695764	1.038186624	NA	NA	NA	1.511553433	0.545455191	NA	NA	NA	NA	0.831921016	NA	NA	NA	NA	NA	NA	NA	0.931209396	NA	NA	NA	NA	NA	0.914542365	NA	NA	0.843596682	NA	NA	NA	NA	NA	NA	1.310391072	NA	1.278802654	NA	NA	1.061864816	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.044811142	1.059038894	0.934482372	NA
1994-05-27	0.552151067	NA	NA	0.81489184	NA	NA	0.972743853	1.03462415	NA	NA	NA	1.500004778	0.545659527	NA	NA	NA	NA	0.837988421	NA	NA	NA	NA	NA	NA	NA	0.935462284	NA	NA	NA	NA	NA	0.91521506	NA	NA	0.84074591	NA	NA	NA	NA	NA	NA	1.311309473	NA	1.279742487	NA	NA	1.063418149	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.044688271	1.061977276	0.936527164	NA
